crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari,West Godavari,755.60771,West Godavari,0.0
Finger Millet,,,,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna,Krishna,607.329997,Krishna,11.94890312
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,Guntur,518.73001,Guntur,16.86394141
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,Spsr Nellore,Spsr Nellore,446.650001,Spsr Nellore,10.1296106
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,Kurnool,359.79,Kurnool,12.74332121
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Anantapur,Anantapur,359.970007,Anantapur,12.34188169
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Y.S.R.,Y.S.R.,469.070002,Y.S.R.,4.378520281
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,Chittoor,382.300001,Chittoor,2.652205203
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,Hyderabad,708.28,Hyderabad,0.0
Finger Millet,,,,56,2017,20,Telangana,93054,30033,11208,Nizamabad,Nizamabad,670.78002,Nizamabad,1.724911466
Finger Millet,,,,57,2017,20,Telangana,13194,8958,2670,Medak,Medak,666.8199999999999,Medak,1.005789909
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,Mahabubnagar,533.05583,Mahabubnagar,17.58192712
Finger Millet,,,,59,2017,20,Telangana,33043,14763,5605,Nalgonda,Nalgonda,569.40002,Nalgonda,15.80632803
Finger Millet,,,,60,2017,20,Telangana,122203,31481,16202,Warangal,Warangal,791.53,Warangal,18.359901685
Finger Millet,,,,61,2017,20,Telangana,15181,8795,3643,Khammam,Khammam,793.1099899999999,Khammam,31.33744182
Finger Millet,,,,62,2017,20,Telangana,12532,5973,1849,Karimnagar,Karimnagar,637.0799999999999,Karimnagar,11.12488977
Finger Millet,,,,63,2017,20,Telangana,59648,13502,6270,Adilabad,Adilabad,623.0400099999999,Adilabad,0.454825911
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore,Bangalore,593.379999,Bangalore,0.073116581
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar,Kolar,591.249989,Kolar,0.086816909
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumakuru,Tumakuru,459.830011,Tumakuru,1.0458634
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysuru,Mysuru,500.479995,Mysuru,0.949660522
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya,Mandya,467.17999,Mandya,0.102585889
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan,Hassan,583.919997,Hassan,0.025147948
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,Chitradurga,358.479998,Chitradurga,5.517792473
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Ballari,Ballari,470.020001,Ballari,6.439305471
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad,Dharwad,398.939997,Dharwad,63.78398811
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belagavi,Belagavi,387.049988,Belagavi,16.50813143
Finger Millet,,,,76,2017,5,Karnataka,73977,37407,23520,Vijayapura,Vijayapura,508.919997,Vijayapura,32.51771844
Finger Millet,,,,77,2017,5,Karnataka,10275,8497,2388,Bidar,Bidar,687.689999,Bidar,2.144761905
Finger Millet,,,,78,2017,5,Karnataka,115832,62617,22756,Raichur,Raichur,535.689999,Raichur,40.20297263
Finger Millet,,,,79,2017,5,Karnataka,70290,46001,12551,Kalaburagi,Kalaburagi,652.700022,Kalaburagi,14.96447745
Finger Millet,,,,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada,Dakshina Kannada,1539.89998,Dakshina Kannada,0.02462354
Finger Millet,,,,81,2017,5,Karnataka,8781,4050,3845,Uttara Kannada,Uttara Kannada,843.01999,Uttara Kannada,0.370385583
Finger Millet,,,,82,2017,5,Karnataka,19657,11983,13550,Kodagu,Kodagu,654.99001,Kodagu,0.0
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,Cuddalore,Cuddalore,248.689998,Cuddalore,21.8151964
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,Vellore,Vellore,486.510002,Vellore,1.069750348
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,Salem,347.430001,Salem,1.03138624
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,Coimbatore,397.839852,Coimbatore,7.470587913
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,Tiruchirappalli,281.2400004,Tiruchirappalli,12.34029691
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,Thanjavur,329.41344200000003,Thanjavur,49.72568708
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,Madurai,213.3800009,Madurai,31.60176581
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramanathapuram,Ramanathapuram,92.06000202,Ramanathapuram,55.34157079
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Tirunelveli,Tirunelveli,182.9799996,Tirunelveli,18.40676124
Finger Millet,,,,93,2017,11,Tamil Nadu,4848,1399,1900,The Nilgiris,The Nilgiris,400.929327,The Nilgiris,0.0
Finger Millet,,,,94,2017,11,Tamil Nadu,9769,3667,2443,Kanniyakumari,Kanniyakumari,283.250001,Kanniyakumari,0.311027623
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,Thane,3201.87999,Thane,2.603828331
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,Raigad,3497.56003,Raigad,6.553890926
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,Ratnagiri,3392.85996,Ratnagiri,0.942008525
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,Dhule,212.790001,Dhule,1.993371106
Finger Millet,,,,101,2017,7,Maharashtra,96772,47696,74158,Jalgaon,Jalgaon,674.49999,Jalgaon,11.39637414
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,Ahmednagar,1528.68003,Ahmednagar,2.882446944
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,Pune,3811.90996,Pune,1.139323747
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,Satara,4152.49,Satara,0.486302781
Finger Millet,,,,105,2017,7,Maharashtra,54620,27950,24678,Sangli,Sangli,1854.30002,Sangli,3.064618315
