crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,irrigatedarea_new,unirrigatedarea,ln_production,ln_irrigatedarea_new,ln_unirrigatedarea,ln_nitrogen,ln_phosphate,ln_potash
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,329.41344200000003,49.72568708,0.0,1.0,1.76,1.6370530600118207,0.0,0.5653138090500605,11.168348473372488,10.232287575708806,10.237635661893249
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,213.3800009,31.60176581,0.0,1.0,0.050000001,-1.6607312068216509,0.0,-2.995732253553991,10.445579258176117,9.674200166461429,9.486607541612665
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramanathapuram,92.06000202,55.34157079,0.0,1.0,0.47,0.7080357930536959,0.0,-0.7550225842780328,10.613319760626345,8.803724602110622,8.034631032923107
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Tirunelveli,182.9799996,18.40676124,0.0,1.0,0.050000001,-1.5141277326297755,0.0,-2.995732253553991,10.235593126289832,9.284055409798464,8.861350110795998
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,3201.87999,2.603828331,0.0,1.0,13.9,2.6741486494265287,0.0,2.631888840136646,9.714866193593645,7.867105500316739,7.611347717403621
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,3497.56003,6.553890926,0.0,1.0,6.6999998,1.6677068582939245,0.0,1.9021074965461735,9.099967314494812,7.118826249062078,7.105786129481271
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,3392.85996,0.942008525,0.0,1.0,16.0,3.1780538303479458,0.0,2.772588722239781,9.309733115854218,8.10258642539079,7.768110378525988
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,212.790001,1.993371106,0.0,1.0,1.62,0.7929925155296614,0.0,0.4824261492442928,11.21601426819998,10.318242707551384,10.25061708363133
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,1528.68003,2.882446944,0.0,1.0,0.1,-2.3025850929940455,0.0,-2.3025850929940455,11.56327631539695,11.101537853410294,10.642635295656758
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,3811.90996,1.139323747,0.0,1.0,2.7,0.7884573603642703,0.0,0.9932517730102834,11.484916860550916,10.784979778867587,10.447438426733946
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,4152.49,0.486302781,0.0,1.0,4.5,1.6292405201224367,0.0,1.5040773967762742,10.804948870164282,10.158284797652133,9.899780690604802
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,2995.15002,1.226774015,0.0,1.0,21.299999,3.5263605246161616,0.0,3.0587070257670215,11.170378816408236,10.342516377482433,10.328101479483053
Finger Millet,4.3200002,3.1400001,0.0,127,2017,3,Gujarat,31633,10840,9019,Valsad,2136.90011,2.452587927,0.0,1.0,4.3200002,1.1442228317672953,0.0,1.4632554485523142,10.361956158466594,9.290998274993637,9.107088742165708
Finger Millet,7.5599999,7.5100002,0.0,128,2017,3,Gujarat,503,107,56,Dang,1218.66999,0.0,0.0,1.0,7.5599999,2.0162354924072017,0.0,2.0228711769639283,6.220590170099739,4.672828834461906,4.02535169073515
Finger Millet,1.9,3.1099999,0.029999999,237,2017,16,Uttarakhand,117390,15316,6314,Nainital,1074.78997,10.50496733,0.029999999,0.029999999,1.870000001,1.1346226940368014,-3.5065579306533157,0.6259384314012546,11.673257003872568,9.636653312597184,8.750524669117937
Finger Millet,36.919998,40.279999,0.02,238,2017,16,Uttarakhand,428,112,36,Almora,940.73999,1.33918839,0.02,0.02,36.899998,3.6958550430241446,-3.912023005428146,3.608211496845938,6.059123195581797,4.718498871295094,3.58351893845611
Finger Millet,11.92,19.790001,0.0,239,2017,16,Uttarakhand,475,127,43,Pithoragarh,903.71001,0.0,0.0,1.0,11.92,2.985176810145044,0.0,2.4782176616372036,6.163314804034641,4.844187086458591,3.7612001156935624
Finger Millet,16.209999,23.91,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli,851.64001,0.127974096,0.0,1.0,16.209999,3.1742967814702334,0.0,2.785628274057268,4.454347296253507,3.8066624897703196,0.6931471805599453
Finger Millet,5.23,9.2200003,0.0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,804.71,0.0,0.0,1.0,5.23,2.221375070106463,0.0,1.6544112780768316,4.919980925828125,5.003946305945459,3.4965075614664802
Finger Millet,11.08,17.549999,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,1039.34999,1.340415995,0.02,0.02,11.06,2.865053892931816,-3.912023005428146,2.403334996094189,4.31748811353631,3.4965075614664802,0.6931471805599453
