crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,,,,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar,Ganganagar,433.67001
Finger Millet,,,,151,2017,10,Rajasthan,60575,22655,1213,Jaipur,Jaipur,339.779995
Finger Millet,,,,152,2017,10,Rajasthan,7838,3190,82,Jaisalmer,Jaisalmer,234.35000100000002
Finger Millet,,,,153,2017,10,Rajasthan,29682,6176,1501,Jalore,Jalore,1351.240002
Finger Millet,,,,154,2017,10,Rajasthan,30476,14084,346,Jhalawar,Jhalawar,697.7
Finger Millet,,,,156,2017,10,Rajasthan,35672,17058,1783,Jodhpur,Jodhpur,259.889998
Finger Millet,,,,157,2017,10,Rajasthan,82586,36328,1863,Kota,Kota,533.379991
Finger Millet,,,,158,2017,10,Rajasthan,24470,13532,1394,Nagaur,Nagaur,325.370004
Finger Millet,,,,159,2017,10,Rajasthan,13748,11119,604,Pali,Pali,589.130008
Finger Millet,,,,160,2017,10,Rajasthan,39972,12592,332,Sawai Madhopur,Sawai Madhopur,352.140004
Finger Millet,,,,161,2017,10,Rajasthan,15594,5243,286,Sikar,Sikar,303.709995
Finger Millet,,,,162,2017,10,Rajasthan,14531,4303,406,Sirohi,Sirohi,1346.6699990000002
Finger Millet,,,,163,2017,10,Rajasthan,22553,9945,209,Tonk,Tonk,388.439999
Finger Millet,,,,164,2017,10,Rajasthan,34494,10333,2659,Udaipur,Udaipur,303.500012
Finger Millet,,,,165,2017,9,Punjab,87626,16847,2293,Gurdaspur,Gurdaspur,13.5
Finger Millet,,,,166,2017,9,Punjab,137546,37153,5623,Amritsar,Amritsar,20.370000999800002
Finger Millet,,,,167,2017,9,Punjab,43368,6625,2281,Kapurthala,Kapurthala,40.159999999
Finger Millet,,,,168,2017,9,Punjab,84815,29066,4517,Jalandhar,Jalandhar,36.71999798980001
Finger Millet,,,,169,2017,9,Punjab,55772,21295,3397,Hoshiarpur,Hoshiarpur,25.439999979
Finger Millet,,,,170,2017,9,Punjab,27850,8908,2929,Rupnagar,Rupnagar,13.569999990000001
Finger Millet,,,,171,2017,9,Punjab,167082,26004,2370,Ludhiana,Ludhiana,6.2999998898
Finger Millet,,,,172,2017,9,Punjab,234282,61477,8041,Ferozepur,Ferozepur,13.61
Finger Millet,,,,174,2017,9,Punjab,187996,33795,9297,Bathinda,Bathinda,4.8999998998
Finger Millet,,,,175,2017,9,Punjab,139068,36351,4210,Sangrur,Sangrur,2.7499999996
Finger Millet,,,,176,2017,9,Punjab,158811,21365,6382,Patiala,Patiala,11.085099862
Finger Millet,,,,177,2017,4,Haryana,294303,93574,14466,Hisar,Hisar,212.465392
Finger Millet,,,,180,2017,4,Haryana,86086,26452,4543,Gurugram,Gurugram,244.078736
Finger Millet,,,,181,2017,4,Haryana,100027,22141,4945,Jind,Jind,246.816832
Finger Millet,,,,182,2017,4,Haryana,69467,28506,3232,Mahendragarh,Mahendragarh,227.5327
Finger Millet,,,,183,2017,4,Haryana,110935,24676,5835,Ambala,Ambala,368.581908
Finger Millet,,,,184,2017,4,Haryana,269227,53753,9657,Karnal,Karnal,316.704436
Finger Millet,,,,186,2017,4,Haryana,119225,31168,3532,Rohtak,Rohtak,264.825716
Finger Millet,,,,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur,Saharanpur,592.29
Finger Millet,,,,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar,Muzaffarnagar,448.320003
Finger Millet,,,,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut,Meerut,439.509997
Finger Millet,,,,192,2017,12,Uttar Pradesh,75318,29161,6014,Bulandshahr,Bulandshahr,586.01001
Finger Millet,,,,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh,Aligarh,479.83999
Finger Millet,,,,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura,Mathura,305.649994
Finger Millet,,,,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra,Agra,245.96999799999998
Finger Millet,,,,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri,Mainpuri,548.679991
