crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,unirrigatedarea,irrigatedarea_squared,unirrigatedarea_squared,irrigatedarea_unirrigatedarea,nitrogenconsumptiontonnes_squared,phosphateconsumptiontonnes_squared,potashconsumptiontonnes_squared
Finger Millet,0.07,0.050000001,0.0,901,2017,2,Bihar,125927,46593,20330,Champaran,1549.7899980000002,14.645806636,0.0,0.07,0.0,0.004900000000000001,0.0,15857609329,2170907649,413308900
Finger Millet,0.090000004,0.090000004,0.050000001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,642.720001,32.96913214,0.050000001,0.04000000299999999,0.0025000001000000014,0.0016000002400000084,0.0020000001900000028,11982148369,1885383241,448931344
Finger Millet,0.64999998,1.22,0.60000002,903,2017,2,Bihar,79877,31528,13340,Darbhanga,1001.969987,0.001554714,0.60000002,0.049999960000000065,0.36000002400000036,0.0024999960000016063,0.029999976999999237,6380335129,994014784,177955600
Finger Millet,1.98,1.4400001,0.0,904,2017,2,Bihar,44082,18294,11692,Saharsa,839.480022,4.42241708,0.0,1.98,0.0,3.9204,0.0,1943222724,334670436,136702864
Finger Millet,0.94,0.92000002,0.0,906,2017,2,Bihar,65685,16211,3535,Saran,359.05000199999995,36.82237186,0.0,0.94,0.0,0.8835999999999999,0.0,4314519225,262796521,12496225
Finger Millet,0.1,0.1,0.0,908,2017,2,Bihar,125661,42562,21130,Munger,403.819986,0.0,0.0,0.1,0.0,0.010000000000000002,0.0,15790686921,1811523844,446476900
Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Dumka,915.57999,0.0,1.6900001,0.0,2.85610033800001,0.0,0.0,851822596,800154369,53333809
Finger Millet,0.25,0.25,0.0099999998,912,2017,2,Bihar,99317,30221,4369,Gaya,592.5899890000001,1.25790507,0.0099999998,0.2400000002,9.999999600000002e-05,0.057600000096000005,0.002399999954,9863866489,913308841,19088161
Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,1126.25002,0.0,2.6400001,0.0,6.96960052800001,0.0,0.0,236421376,123010281,2208196
Finger Millet,0.28999999,0.2,0.245,914,2017,15,Jharkhand,427,297,82,Dhanbad,909.95002,0.0,0.245,0.04499998999999999,0.060024999999999995,0.002024999100000099,0.011024997549999997,182329,88209,6724
Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamu,696.489987,0.0,0.28,0.0,0.07840000000000001,0.0,0.0,258019969,80263681,2896804
Finger Millet,11.21,13.14,4.7519999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,1184.74001,0.0,4.7519999,6.4580001000000005,22.581503049600013,41.70576529160002,30.688415829399993,834805449,415099876,15594601
Finger Millet,2.9100001,1.78,0.285,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,686.2199889999999,0.0,0.285,2.6250001,0.08122499999999999,6.890625525000009,0.7481250284999998,6697744,2560000,14884
