crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage
Finger Millet,,,,166,2017,9,Punjab,137546,37153,5623,Amritsar,20.3700009998,2.620032594
Finger Millet,,,,167,2017,9,Punjab,43368,6625,2281,Kapurthala,40.159999999,13.36971351
Finger Millet,,,,168,2017,9,Punjab,84815,29066,4517,Jalandhar,36.71999798980001,0.0
Finger Millet,,,,169,2017,9,Punjab,55772,21295,3397,Hoshiarpur,25.439999979,5.393188916
Finger Millet,,,,170,2017,9,Punjab,27850,8908,2929,Rupnagar,13.56999999,4.353522972
Finger Millet,,,,171,2017,9,Punjab,167082,26004,2370,Ludhiana,6.2999998898,0.650642988
Finger Millet,,,,172,2017,9,Punjab,234282,61477,8041,Ferozepur,13.61,1.093388217
Finger Millet,,,,174,2017,9,Punjab,187996,33795,9297,Bathinda,4.8999998998,1.404511585
Finger Millet,,,,175,2017,9,Punjab,139068,36351,4210,Sangrur,2.7499999996,0.4048583
Finger Millet,,,,176,2017,9,Punjab,158811,21365,6382,Patiala,11.085099862,3.11327832
Finger Millet,,,,177,2017,4,Haryana,294303,93574,14466,Hisar,212.465392,3.181288008
Finger Millet,,,,180,2017,4,Haryana,86086,26452,4543,Gurugram,244.078736,7.170852083
Finger Millet,,,,181,2017,4,Haryana,100027,22141,4945,Jind,246.816832,62.86878792
Finger Millet,,,,182,2017,4,Haryana,69467,28506,3232,Mahendragarh,227.5327,0.067567311
Finger Millet,,,,183,2017,4,Haryana,110935,24676,5835,Ambala,368.581908,0.0
Finger Millet,,,,184,2017,4,Haryana,269227,53753,9657,Karnal,316.704436,96.5954103
Finger Millet,,,,186,2017,4,Haryana,119225,31168,3532,Rohtak,264.825716,23.60847211
Finger Millet,,,,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur,592.29,26.1007569
Finger Millet,,,,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar,448.320003,0.0
Finger Millet,,,,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut,439.509997,0.0
Finger Millet,,,,192,2017,12,Uttar Pradesh,75318,29161,6014,Bulandshahr,586.01001,53.79720919
Finger Millet,,,,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh,479.83999,63.80477885
Finger Millet,,,,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura,305.649994,52.17909284
Finger Millet,,,,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra,245.969998,17.90256009
Finger Millet,,,,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri,548.679991,83.43302191
Finger Millet,,,,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah,440.159997,77.89130485
Finger Millet,,,,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly,826.240009,12.03570477
Finger Millet,,,,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun,654.770011,29.65036509
Finger Millet,,,,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad,897.1,0.0
Finger Millet,,,,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur,791.269999,11.61206617
Finger Millet,,,,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit,991.670003,2.866361171
Finger Millet,,,,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur,857.379998,10.53140097
Finger Millet,,,,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor,611.789981,3.088438948
Finger Millet,,,,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad,630.25,30.89250522
Finger Millet,,,,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah,450.760001,24.0614579
Finger Millet,,,,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur,804.090001,33.529169315
Finger Millet,,,,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur,728.309991,38.81640261
Finger Millet,,,,210,2017,12,Uttar Pradesh,108387,39828,13191,Prayagraj,668.74999,15.88414142
Finger Millet,,,,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi,450.439993,0.582606933
Finger Millet,,,,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun,415.319999,2.210888043
Finger Millet,,,,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur,1487.169973,1.945764281
Finger Millet,,,,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda,725.660014,31.38010403
Finger Millet,,,,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi,722.7200029999999,66.12474406
Finger Millet,,,,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur,781.48,74.5943704
Finger Millet,,,,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur,694.669997,35.3579145
Finger Millet,,,,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia,722.700012,8.71385202
Finger Millet,,,,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur,967.42,46.83190458
Finger Millet,,,,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria,842.89001,8.073508156
Finger Millet,,,,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti,886.90999,8.208008697
Finger Millet,,,,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh,924.900011,71.83476231
Finger Millet,,,,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow,727.330004,91.83590103
Finger Millet,,,,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao,606.410013,84.79127544
Finger Millet,,,,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae Bareli,725.250015,71.99218903
Finger Millet,,,,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur,825.9399940000001,45.14381337
Finger Millet,,,,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi,649.749995,25.28892102
Finger Millet,,,,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri,1036.252406,14.0000795
Finger Millet,,,,231,2017,12,Uttar Pradesh,62705,23442,4158,Ayodhya,674.71,50.68125474
Finger Millet,,,,232,2017,12,Uttar Pradesh,60511,21845,5206,Gonda,817.03999,0.79923882
Finger Millet,,,,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich,863.960011,0.0
Finger Millet,,,,234,2017,12,Uttar Pradesh,50043,20285,2169,Sultanpur,609.54,57.49787596
Finger Millet,,,,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh,777.0900158,45.41164744
Finger Millet,,,,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki,748.220009,44.39473326
Finger Millet,1.9,3.1099999,0.029999999,237,2017,16,Uttarakhand,117390,15316,6314,Nainital,1074.78997,10.50496733
Finger Millet,36.919998,40.279999,0.02,238,2017,16,Uttarakhand,428,112,36,Almora,940.73999,1.33918839
Finger Millet,11.92,19.790001,0.0,239,2017,16,Uttarakhand,475,127,43,Pithoragarh,903.71001,0.0
Finger Millet,16.209999,23.91,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli,851.64001,0.127974096
Finger Millet,5.23,9.2200003,0.0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,804.71,0.0
Finger Millet,11.08,17.549999,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,1039.34999,1.340415995
Finger Millet,17.08,23.049999,0.0,243,2017,16,Uttarakhand,374,103,6,Pauri Garhwal,952.10999,1.118322468
Finger Millet,1.17,1.9400001,0.0,244,2017,16,Uttarakhand,3319,887,99,Dehradun,1146.29001,7.676887549
Finger Millet,,,,601,2017,17,Assam,18845,6022,5409,Cachar,2143.05142,0.0
Finger Millet,,,,602,2017,17,Assam,17159,5484,4925,Darrang,906.07673,0.0
Finger Millet,,,,603,2017,17,Assam,15212,4861,4367,Dibrugarh,1255.43999,0.0
Finger Millet,,,,604,2017,17,Assam,30285,9638,8693,Goalpara,1984.64999,0.0
Finger Millet,,,,605,2017,17,Assam,27341,8737,7849,Kamrup,1274.37878,0.007592246
Finger Millet,,,,606,2017,17,Assam,3226,1031,926,Karbi Anglong,0.0,0.0
Finger Millet,,,,607,2017,17,Assam,10347,3306,2966,Lakhimpur,1775.56567,0.421320792
Finger Millet,,,,609,2017,17,Assam,15521,4960,4456,Nagaon,994.18001,0.0
Finger Millet,,,,626,2017,18,Himachal Pradesh,1915,107,45,Bilashpur,933.140022,
Finger Millet,,,,627,2017,18,Himachal Pradesh,1134,88,63,Chamba,685.920001,0.0
Finger Millet,,,,629,2017,18,Himachal Pradesh,14180,2766,1409,Kangra,1190.30002,0.251895137
Finger Millet,0.02,0.0099999998,0.0099999998,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur,392.039999,0.0
Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu,721.359994,1.105313459
Finger Millet,,,,632,2017,18,Himachal Pradesh,182,183,109,Lahul And Spiti,673.3599939999999,0.0
Finger Millet,,,,633,2017,18,Himachal Pradesh,2429,474,253,Solan,624.739997,0.982709001
Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi,985.429998,1.919423925
Finger Millet,0.63999999,0.89999998,0.40099999,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,567.73001,1.735352711
Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,753.0799999999999,0.248091983
Finger Millet,,,,651,2017,19,Kerala,9747,2587,2629,Alappuzha,726.98999,0.0
Finger Millet,,,,652,2017,19,Kerala,11783,4305,7718,Kannur,896.6299899999999,0.0
Finger Millet,0.029999999,0.050000001,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam,581.350009,0.0
Finger Millet,,,,656,2017,19,Kerala,9488,3722,7182,Kozhikode,471.289997,0.0
Finger Millet,,,,657,2017,19,Kerala,9128,3381,5504,Malappuram,382.879997,0.0
Finger Millet,0.050000001,0.050000001,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad,570.08,0.0
Finger Millet,,,,659,2017,19,Kerala,6507,3559,4216,Kollam,687.790002,0.0
Finger Millet,,,,660,2017,19,Kerala,12512,3057,4532,Thrissur,734.31998,0.0
Finger Millet,,,,661,2017,19,Kerala,6500,1439,809,Thiruvananthapuram,565.98001,0.0
Finger Millet,0.07,0.050000001,0.0,901,2017,2,Bihar,125927,46593,20330,Champaran,1549.7899980000002,14.645806636
Finger Millet,0.090000004,0.090000004,0.050000001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,642.720001,32.96913214
Finger Millet,0.64999998,1.22,0.60000002,903,2017,2,Bihar,79877,31528,13340,Darbhanga,1001.969987,0.001554714
Finger Millet,1.98,1.4400001,0.0,904,2017,2,Bihar,44082,18294,11692,Saharsa,839.480022,4.42241708
Finger Millet,0.94,0.92000002,0.0,906,2017,2,Bihar,65685,16211,3535,Saran,359.05000199999995,36.82237186
