,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
2567,Sorghum (Rabi),0.62,0.81999999,7.3000002,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda
2568,Wheat,20.58,55.119999,20.6,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda
2586,Sugarcane,0.0,0.02,0.80000001,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar
2590,Wheat,18.870001,60.080002,19.504999,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar
2608,Maize,0.38999999,0.81999999,0.40000001,127,2017,3,Gujarat,31633,10840,9019,Valsad
2613,Wheat,0.19,0.60000002,0.2,127,2017,3,Gujarat,31633,10840,9019,Valsad
2614,Sorghum (Rabi),0.74000001,0.97000003,0.80000001,127,2017,3,Gujarat,31633,10840,9019,Valsad
2633,Wheat,2.26,1.8099999,2.3,128,2017,3,Gujarat,503,107,56,Dangs
2636,Sugarcane,0.16,0.97000003,0.2,128,2017,3,Gujarat,503,107,56,Dangs
2665,Sugarcane,4.75,29.459999,6.5999999,130,2017,3,Gujarat,64706,33437,7048,Junagadh
2672,Sesamum,7.8299999,7.98,8.1000004,130,2017,3,Gujarat,64706,33437,7048,Junagadh
2691,Sorghum (Rabi),0.02,0.029999999,0.023,131,2017,3,Gujarat,128342,16619,7165,Kheda
2702,Chickpea,5.7399998,5.9299998,5.8260002,131,2017,3,Gujarat,128342,16619,7165,Kheda
2710,Sugarcane,0.14,0.88,0.17,135,2017,3,Gujarat,108519,54681,12824,Rajkot
2730,Cotton,119.69,83.389999,119.7,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha
2733,Sorghum (Rabi),0.28999999,0.38,0.30000001,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha
2735,Wheat,154.25,447.87,154.3,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha
2746,Chickpea,4.3400002,3.8,4.4000001,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha
2752,Sugarcane,110.65,713.0,129.89999,137,2017,3,Gujarat,80074,30311,27213,Surat
2755,Wheat,8.1000004,20.799999,11.0,137,2017,3,Gujarat,80074,30311,27213,Surat
2760,Maize,3.3299999,7.5999999,3.5,137,2017,3,Gujarat,80074,30311,27213,Surat
2763,Pearl Millet,0.029999999,0.079999998,0.1,137,2017,3,Gujarat,80074,30311,27213,Surat
2765,Sesamum,0.25999999,0.13,0.30000001,137,2017,3,Gujarat,80074,30311,27213,Surat
2768,Sorghum (Rabi),4.23,3.4300001,4.4000001,137,2017,3,Gujarat,80074,30311,27213,Surat
2875,Maize,0.0099999998,0.029999999,0.02,142,2017,10,Rajasthan,12912,2366,281,Barmer
2963,Sugarcane,0.75999999,6.0100002,0.76999998,146,2017,10,Rajasthan,40163,12315,382,Bundi
2973,Linseed,0.83999997,0.94,0.84299999,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh
2983,Sugarcane,1.77,12.86,1.78,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh
2987,Wheat,174.88,698.65997,174.882,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh
3046,Sugarcane,2.1099999,14.43,2.1199999,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar
3057,Rice,42.18,127.29,42.189999,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar
3091,Cotton,0.17,0.02,0.18000001,152,2017,10,Rajasthan,7838,3190,82,Jaisalmer
3140,Barley,0.2,0.68000001,0.20999999,154,2017,10,Rajasthan,30476,14084,346,Jhalawar
3245,Barley,0.63999999,2.1300001,0.64999998,160,2017,10,Rajasthan,39972,12592,332,Swami Madhopur
3261,Sugarcane,0.0099999998,0.11,0.02,161,2017,10,Rajasthan,15594,5243,286,Sikar
